Order,Category,Subcategory,Style,Brand,Product,Rating,IB,Release,ABV,Age,Interpolated Date,Chang,Canal's Mt. Ephraim,Cask Strength Society,FWGS,Kreston,Mawl's & Seelbach's,PWS,Redstone,Roger Wilco Pennsauken,SJBD 1,SJBD 2,Somerville Super Saver,?,Distillery 1,Distillery 2,Distillery 3,Distillery 4,Distillery 5,Distillery 6,Distillery 7,Distillery 8,Distillery 9
389,Bourbon,,,Basil Hayden's,10,2.5,,,,10,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
390,American,Pennsylvania,Four Grain,Bluebird,Four Grain,3,,,,,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
391,Scotch,Speyside,,Mortlach,26 CS,4.5,Gordon & Macphail,1987,,26,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
392,American SM,Massachusetts,,Dirty Water,The Bachelor,3.5,,,,,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
393,Bourbon,Finished,Sherry,Legent,,2.5,,,,,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
394,Scotch,Highland,Medium Smoke,Ardmore,15,4.5,Gordon & Macphail,,,15,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
395,Bourbon,"Washington, DC",,One Eight,Untitled Whiskey No. 11,2.5,,,,,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
396,Bourbon,,,George T. Stagg,,5,,?,,15,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
397,Scotch,Islay,Smoke,Bowmore,10,3,,,,10,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
398,Scotch,Speyside,Smoke,Balvenie,Peat Week,4,,,,,3/30/2019,,,,,,,,,,,,,,,,,,,,,,
399,Irish,Blended,Creative,Tullamore Dew,Cider Cask,3.5,,,,,3/30/2019,,,,,,,,,,,,,,,,,,,,,,
400,Scotch,Islay,Smoke,Port Charlotte,PC10 Tro Na Linntean,4,,,,10,3/30/2019,,,,,,,,,,,,,,,,,,,,,,
401,Scotch,Islay,Smoke/Sherry,Bunnahabhain,Ceobanach,4,,,,10,3/30/2019,,,,,,,,,,,,,,,,,,,,,,
402,Scotch,Highland,,Tomatin,Dualchas,2.5,,,,,4/19/2019,,,,,,,,,,,,,,,,,,,,,,
403,American,Wheat,Wheat,Bernheim,Original,4,,,,7,4/19/2019,,,,,,,,,,,,,,,,,,,,,,
404,Scotch,Island,Medium Smoke/Sherry,Talisker,Distiller's Edition,4.5,,,,10,4/19/2019,,,,,,,,,,,,,,,,,,,,,,
405,Scotch,Blended Scotch,Light Smoke,Johnnie Walker,Blue Label,3.5,,,,,4/19/2019,,,,,,,,,,,,,,,,,,,,,,
406,Bourbon,,Budget,Evan Williams,Bottled in Bond,3.5,,,,4,5/2/2019,,,,,,,,,,,,,,,,,,,,,,
407,Scotch,Highland,Wine,Dalmore,King Alexander III,4.5,,,,,5/25/2019,,,,,,,,,,,,,,,,,,,,,,
408,Scotch,Blended Scotch,Sherry,Compass Box,Delilah's XXV,4.5,,,,,5/25/2019,,,,,,,,,,,,,,,,,,,,,,
409,Scotch,Highland,Fruit,Dalwhinnie,Distiller's Edition,3,,,,,5/25/2019,,,,,,,,,,,,,,,,,,,,,,
410,Scotch,Highland,Brine,Clynelish,14,3,,,,14,5/25/2019,,,,,,,,,,,,,,,,,,,,,,
411,Scotch,Islay,Smoke/Sherry,Kilchoman,Loch Gorm,4,,2018,,5,5/25/2019,,,,,,,,,,,,,,,,,,,,,,
412,Bourbon,,Wheat,Van Winkle,Special Reserve 12,4,,?,,12,5/28/2019,,,,,,,,,,,,,,,,,,,,,,
413,American,Blended,,TX,Blended Whiskey,2.5,,,,,5/28/2019,,,,,,,,,,,,,,,,,,,,,,
414,American,Bourbon/Rye,Bourye,Wild Turkey,Forgiven,3,,,,,5/28/2019,,,,,,,,,,,,,,,,,,,,,,
415,Scotch,Islay,Smoke,Port Charlotte,Islay Barley,4,,2011,,6,5/28/2019,,,,,,,,,,,,,,,,,,,,,,
416,Rye,,,Michter's,Fort Nelson Select Rye,3.5,,,,,5/30/2019,,,,,,,,,,,,,,,,,,,,,,
417,Rye,,,Willett,Family Estate 4 Small Batch CS,3.5,,,,4,5/30/2019,,,,,,,,,,,,,,,,,,,,,,
418,Bourbon,,,Orphan Barrel,Barterhouse 20,2.5,,,,20,5/30/2019,,,,,,,,,,,,,,,,,,,,,,
419,Rye,Pennsylvania,,Lock Stock and Barrel,16 Rye,2,,,,16,5/30/2019,,,,,,,,,,,,,,,,,,,,,,
420,Rye,Vermont,,WhistlePig,Farmstock Craft,2.5,,1,,,5/30/2019,,,,,,,,,,,,,,,,,,,,,,
421,Bourbon,,,Elmer T. Lee,,3,,,,,5/30/2019,,,,,,,,,,,,,,,,,,,,,,
422,Bourbon,,,Woodford Reserve,Double Double Oaked,3.5,,,,,5/30/2019,,,,,,,,,,,,,,,,,,,,,,
423,Bourbon,,,Old Fitzgerald,Prime,3,,,,,5/30/2019,,,,,,,,,,,,,,,,,,,,,,
424,American,Malt,Creative,Woodford Reserve,Master's Collection Straight Malt,3.5,,,,,5/30/2019,,,,,,,,,,,,,,,,,,,,,,
425,Bourbon,Finished,,Yellowstone,Limited Edition,4.5,,2017,,,5/30/2019,,,,,,,,,,,,,,,,,,,,,,
426,Scotch,Highland,,Royal Brackla,11,4,Gordon & Macphail,2006,,11,5/30/2019,,,,,,,,,,,,,,,,,,,,,,
427,Scotch,Speyside,,Mortlach,21,3.5,Gordon & Macphail,2012,,21,5/30/2019,,,,,,,,,,,,,,,,,,,,,,
428,Bourbon,,,Very Old Barton,100,3.5,,,,,5/30/2019,,,,,,,,,,,,,,,,,,,,,,
429,Scotch,Speyside,,Cardhu,Gold Reserve,3.5,,,,,5/30/2019,,,,,,,,,,,,,,,,,,,,,,
430,Irish,Single Malt,,Knappogue Castle,17,2,,,,17,5/30/2019,,,,,,,,,,,,,,,,,,,,,,
431,Bourbon,Finished,,Virgil Kaine,Electric Owl 9,3,,,,9,5/30/2019,,,,,,,,,,,,,,,,,,,,,,
432,American,Oat,Creative,Woodford Reserve,Oat Grain,3.5,,,,,5/30/2019,,,,,,,,,,,,,,,,,,,,,,
433,Bourbon,,High Rye,Four Roses,Single Barrel CS Private Selection,0,,,,,5/30/2019,,,,,,,,,,,,,3,,,,,,,,,
434,American,Blended,,Barrell,Infinite Barrel Project 7/16/2018,3.5,,,,,5/30/2019,,,,,,,,,,,,,,,,,,,,,,
435,Bourbon,,,Wild Turkey,Kentucky Spirit,4.5,,,,,5/30/2019,,,,,,,,,,,,,,,,,,,,,,
436,Bourbon,,,Old Charter,8,2.5,,,,8,5/30/2019,,,,,,,,,,,,,,,,,,,,,,
437,Bourbon,,,Four Roses,Small Batch Select,4,,,,,6/3/2019,,,,,,,,,,,,,,,,,,,,,,
438,Japanese,Single Malt,Creative,Matsui,Mizunara Cask,3.5,,,,,6/3/2019,,,,,,,,,,,,,,,,,,,,,,
439,Scotch,Speyside,Sherry,Balvenie,16 Triple Cask,4,,,,16,6/3/2019,,,,,,,,,,,,,,,,,,,,,,
440,Scotch,Lowland,,Auchentoshan,20 Old Particular,3,Douglas Laing,1997,,20,6/3/2019,,,,,,,,,,,,,,,,,,,,,,
441,Scotch,Islay,Wine,Bunnahabhain,Eirigh Na Greine,3.5,,,,,6/3/2019,,,,,,,,,,,,,,,,,,,,,,
442,Scotch,Speyside,,Pittyvaich,Connoiseur's Choice 13,2.5,Gordon & Macphail,1993,,13,6/3/2019,,,,,,,,,,,,,,,,,,,,,,
443,Scotch,Speyside,Sherry,Glenlivet,13 Sherry Cask,4,,,,13,6/3/2019,,,,,,,,,,,,,,,,,,,,,,
444,World,Indian,Creative,Amrut,Naarangi,2,,,,,6/3/2019,,,,,,,,,,,,,,,,,,,,,,
445,Scotch,Islay,,Bunnahabhain,Cooper's Choice 15,4,Vintage Malt Whisky Company,2001,,15,6/3/2019,,,,,,,,,,,,,,,,,,,,,,
446,Bourbon,,Budget,Ezra Brooks,Old Ezra 7 101,4,,,,7,6/3/2019,,,,,,,,,,,,,,,,,,,,,,
447,Bourbon,,Budget,Ezra Brooks,Old Ezra 7 Barrel Strength,4,,,,7,6/3/2019,,,,,,,,,,,,,,,,,,,,,,
448,Rye,Alberta,,WhistlePig,15,5,,,,15,6/3/2019,,,,,,,,,,,,,,,,,,,,,,
449,Scotch,Speyside,,Mortlach,15,4.5,Signatory Vintage,1991,,15,6/3/2019,,,,,,,,,,,,,,,,,,,,,,
450,Scotch,Island,Medium Smoke/Port,Talisker,Port Ruighe,4,,,,,6/3/2019,,,,,,,,,,,,,,,,,,,,,,
451,Scotch,Campbeltown,Smoke/Wine,Longrow,13 Malbec Red,4.5,,,,13,6/3/2019,,,,,,,,,,,,,,,,,,,,,,
452,Rye,,,WhistlePig,13 CS,0,,,,13,6/3/2019,,,,,,,,,,2.5,,,,,,,,,,,,
453,Scotch,Speyside,,Dailuaine,Undisclosed Speyside 28,3.5,Single Cask Nation,,,28,6/3/2019,,,,,,,,,,,,,,,,,,,,,,
454,Scotch,Speyside,,Dailuaine,Raw Cask,4.5,Blackadder,1996,,,6/3/2019,,,,,,,,,,,,,,,,,,,,,,
455,Scotch,Campbeltown,,Glen Scotia,Benchmark 25,4.5,Murray McDavid,1991,,25,6/3/2019,,,,,,,,,,,,,,,,,,,,,,
456,Scotch,Speyside,,Dailuaine,10,3.5,Exclusive Malts,2007,,10,6/3/2019,,,,,,,,,,,,,,,,,,,,,,
457,Scotch,Islay,Smoke/Rum,Ardbeg,Drum,4,,,,,6/3/2019,,,,,,,,,,,,,,,,,,,,,,
458,Scotch,Islay,Smoke/Rum,Ardbeg,Drum Committee Release,4,,,,,6/3/2019,,,,,,,,,,,,,,,,,,,,,,
459,Scotch,Islay,Smoke/Sherry,Laphroaig,Cairdeas Fino,3.5,,2018,,,6/3/2019,,,,,,,,,,,,,,,,,,,,,,
460,Japanese,Blended,Sherry,Hibiki,Japanese Harmony Master's Select,3.5,,,,,6/3/2019,,,,,,,,,,,,,,,,,,,,,,
461,Scotch,Highland,,Old Pulteney,17,4.5,,,,17,6/3/2019,,,,,,,,,,,,,,,,,,,,,,
462,Scotch,Blended Scotch,Light Smoke,Cuttty Sark,Prohibition,4,,,,,6/3/2019,,,,,,,,,,,,,,,,,,,,,,
463,Scotch,Blended Malt,Malt,Compass Box,Oak Cross,3.5,,,,,6/7/2019,,,,,,,,,,,,,,,,,,,,,,
464,Irish,Blended,Port,Clonakilty,Port Cask,2.5,,,,,6/7/2019,,,,,,,,,,,,,,,,,,,,,,
465,American,Blended,,Barrell,Whiskey Batch 001,3.5,,,,7,6/7/2019,,,,,,,,,,,,,,,,,,,,,,
466,American,Finished,Rum,Barrell,Dovetail,5,,,,,6/7/2019,,,,,,,,,,,,,,,,,,,,,,
467,Bourbon,Finished,Sherry,Wild Turkey,Master's Keep Revival,3,,,,4,6/7/2019,,,,,,,,,,,,,,,,,,,,,,
468,Bourbon,,,Wild Turkey,Decades,3,,,,10,6/7/2019,,,,,,,,,,,,,,,,,,,,,,
469,American,Bourbon/Rye,Bourye,Blackened,Batch 089,3.5,,,,,6/7/2019,,,,,,,,,,,,,,,,,,,,,,
470,World,Indian,Smoke,Paul John,Peated Select,4,,,,,6/7/2019,,,,,,,,,,,,,,,,,,,,,,
471,Scotch,Highland,Sherry,Dalmore,Cigar Malt,4.5,,,,,6/7/2019,,,,,,,,,,,,,,,,,,,,,,
472,Scotch,Speyside,,Glenrothes,20,4,Single Cask Nation,,,20,6/10/2019,,,,,,,,,,,,,,,,,,,,,,
473,Scotch,Speyside,Sherry,Glentauchers,8,4.5,Single Cask Nation,,,8,6/10/2019,,,,,,,,,,,,,,,,,,,,,,
474,Scotch,Highland,,Macduff,13,2.5,Single Cask Nation,,,13,6/10/2019,,,,,,,,,,,,,,,,,,,,,,
475,Scotch,Highland,,Croftengea,10,4.5,Single Cask Nation,,,10,6/10/2019,,,,,,,,,,,,,,,,,,,,,,
476,Scotch,Speyside,Sulphur,Craigellachie,10,4,Single Cask Nation,,,10,6/10/2019,,,,,,,,,,,,,,,,,,,,,,
477,American,Light Whisky,Creative,MGP,10,4,Single Cask Nation,,,10,6/10/2019,,,,,,,,,,,,,,,,,,,,,,
478,American SM,Pennsylvania,Smoke,New Liberty,Cradle of Liberty Cherrywood Smoked,3,,,,,6/14/2019,,,,,,,,,,,,,,,,,,,,,,
479,Scotch,Speyside,,Octave/Whisky Peddler,Iconic Speyside,3.5,Duncan Taylor,,,,6/14/2019,,,,,,,,,,,,,,,,,,,,,,
480,Scotch,Speyside,Fruit,Singleton,12,2.5,,,,12,6/14/2019,,,,,,,,,,,,,,,,,,,,,,
481,Bourbon,New York,,Hillrock Estate,Solera Aged,3,,,,,6/14/2019,,,,,,,,,,,,,,,,,,,,,,
482,Scotch,Blended Scotch,Creative,Chivas Regal,Mizunara,3,,,,,6/14/2019,,,,,,,,,,,,,,,,,,,,,,
483,Rye,Pennsylvania,,Wigle,,3.5,,,,,6/14/2019,,,,,,,,,,,,,,,,,,,,,,
484,Scotch,Speyside,Malt,Balvenie,Sweet Toast of American Oak 12,4.5,,,,12,6/21/2019,,,,,,,,,,,,,,,,,,,,,,
485,Rye,Alberta,,WhistlePig,12 CS,0,,,,12,6/21/2019,,,,,,,,,,4.5,,,,,,,,,,,,
486,Scotch,Speyside,Sherry,Macallan,Classic Cut,3.5,,,,,6/21/2019,,,,,,,,,,,,,,,,,,,,,,
487,American SM,Pennsylvania,,Red Brick,,3.5,,,,,6/28/2019,,,,,,,,,,,,,,,,,,,,,,
488,American SM,Pennsylvania,,Red Brick,Barrel Strength,4,,,,,6/28/2019,,,,,,,,,,,,,,,,,,,,,,
489,Scotch,Highland,,Clynelish,Connoiseur's Choice 11,4,Gordon & Macphail,,,11,6/28/2019,,,,,,,,,,,,,,,,,,,,,,
490,Irish,Single Malt,,Glendalough,13,3,,,,13,6/28/2019,,,,,,,,,,,,,,,,,,,,,,
491,Bourbon,Pennsylvania,,Kinsey,10,3.5,,,,10,6/28/2019,,,,,,,,,,,,,,,,,,,,,,
492,Scotch,Islay,,Bowmore,Old & Rare 20,4.5,Douglas Laing,,,20,6/28/2019,,,,,,,,,,,,,,,,,,,,,,
493,Scotch,Speyside,Sherry,Macallan,Old & Rare 21,4.5,Douglas Laing,,,21,6/28/2019,,,,,,,,,,,,,,,,,,,,,,
494,Scotch,Campbeltown,,Glen Scotia,Distillery Exclusive 18,4.5,,,,18,6/28/2019,,,,,,,,,,,,,,,,,,,,,,
495,Scotch,Speyside,Port,Glenfarclas,10 Port Barrel Speyside,5,Exclusive Malts,2004,,10,6/28/2019,,,,,,,,,,,,,,,,,,,,,,
496,Scotch,Highland,,Strathisla,12,4,,,,12,6/28/2019,,,,,,,,,,,,,,,,,,,,,,
497,Scotch,Speyside,Creative,Glen Moray,Cider Cask,4,,,,,6/28/2019,,,,,,,,,,,,,,,,,,,,,,
498,Scotch,Speyside,,Lost Distillery,Towiemore,4,,,,,6/28/2019,,,,,,,,,,,,,,,,,,,,,,
499,Scotch,Highland,,Glen Garioch,15 Renaissance Ch. 1,4.5,,,,15,6/28/2019,,,,,,,,,,,,,,,,,,,,,,
500,Bourbon,,,New Riff,Single Barrel,3.5,,,,,7/3/2019,,,,,,,,,,,,,,,,,,,,,,
501,Scotch,Highland,Malt,Glenmorangie,Milsean,3.5,,,,,7/3/2019,,,,,,,,,,,,,,,,,,,,,,
502,Rye,MGP,,WhistlePig,Boss Hog III: The Independent,3.5,,,,14,7/3/2019,,,,,,,,,,,,,,,,,,,,,,
503,Rye,,Rum,Basil Hayden's,Caribbean Reserve Rye,2,,,,,7/6/2019,,,,,,,,,,,,,,,,,,,,,,
504,American SM,Arizona,Smoke,Whiskey Del Bac,Dorado,3,,,,,7/6/2019,,,,,,,,,,,,,,,,,,,,,,
505,Scotch,Highland,Sherry,Tomatin,12,4,,,,12,7/6/2019,,,,,,,,,,,,,,,,,,,,,,
506,Japanese,Blended,,Nikka,From the Barrel,4,,,,,7/6/2019,,,,,,,,,,,,,,,,,,,,,,
507,Scotch,Highland,Port,Glenmorangie,Quinta Ruban 14,3.5,,,,14,7/6/2019,,,,,,,,,,,,,,,,,,,,,,
508,Scotch,Highland,Light Smoke,Glenglassaugh,Torfa,4,,,,,7/6/2019,,,,,,,,,,,,,,,,,,,,,,
509,Scotch,Highland,Light Smoke/Sherry,Oban,Distiller's Edition,4.5,,,,,7/6/2019,,,,,,,,,,,,,,,,,,,,,,
510,Scotch,Islay,,Bowmore,11,3.5,Cooper's Choice,,,11,7/6/2019,,,,,,,,,,,,,,,,,,,,,,
511,Bourbon,,,Colonel E.H. Taylor,Single Barrel,4,,,,,7/6/2019,,,,,,,,,,,,,,,,,,,,,,
512,American,Oregon,Wheat,Oregon Spirit,Wheat Whiskey,2.5,,,,,7/6/2019,,,,,,,,,,,,,,,,,,,,,,
513,Bourbon,,Budget,Johnny Drum,Private Stock,2.5,,,,,7/6/2019,,,,,,,,,,,,,,,,,,,,,,
514,Scotch,Blended Scotch,,John Barr,,1.5,,,,,7/11/2019,,,,,,,,,,,,,,,,,,,,,,
515,Scotch,Islay,Smoke/Wine,Port Charlotte,MRC:01,4.5,,,,7,7/15/2019,,,,,,,,,,,,,,,,,,,,,,
516,Scotch,Islay,Smoke,Ardbeg,Galileo,4,,,,,7/15/2019,,,,,,,,,,,,,,,,,,,,,,
517,American,Finished,Rum,Barrell,Whiskey Batch 004,5,,,,11,7/15/2019,,,,,,,,,,,,,,,,,,,,,,
518,Scotch,Highland,Sherry,Dalmore,15,3,,,,15,7/15/2019,,,,,,,,,,,,,,,,,,,,,,
519,Scotch,Speyside,Light Smoke,Glenrothes,Peated Cask,4,,,,,7/15/2019,,,,,,,,,,,,,,,,,,,,,,
520,Rye,Pennsylvania,,Dad's Hat,Classic,3.5,,,,,7/26/2019,,,,,,,,,3,,,,,,,,,,,,,
521,Rye,Pennsylvania,,Dad's Hat,Straight,2.5,,,,,7/26/2019,,,,,,,,,,,,,,,,,,,,,,
522,Irish,Single Pot Still,Wine,Red Spot,,4.5,,,,15,7/26/2019,,,,,,,,,,,,,,,,,,,,,,
523,Rye,Pennsylvania,,Dad's Hat,Bottled in Bond,4,,,,4,7/26/2019,,,,,,,,,,,,,,,,,,,,,,
524,Scotch,Blended Scotch,,Famous Grouse,,3,,,,,7/26/2019,,,,,,,,,,,,,,,,,,,,,,
525,Canadian,,,Lot 40,,4,,,,,7/26/2019,,,,,,,,,,,,,,,,,,,,,,
526,Rye,Pennsylvania,,Whiskey Rebellion,,3.5,,,,,7/27/2019,,,,,,,,,,,,,,,,,,,,,,
527,World,English,,London Distillery,109 Cask Edition,3,,,,,7/27/2019,,,,,,,,,,,,,,,,,,,,,,
528,Bourbon,,High Rye,Old Forester,Birthday Bourbon,4,,2018,,,7/28/2019,,,,,,,,,,,,,,,,,,,,,,
529,Bourbon,,Wheat,W.L. Weller,C.Y.P.B.,4,,,,,7/28/2019,,,,,,,,,,,,,,,,,,,,,,
530,Bourbon,,,Eagle Rare,17,5,,?,,17,7/28/2019,,,,,,,,,,,,,,,,,,,,,,
531,Scotch,Island,Light Smoke,Highland Park,14,4,James MacArthur,,,14,7/28/2019,,,,,,,,,,,,,,,,,,,,,,
532,Scotch,Islay,Smoke/Sherry,Kilchoman,Sanaig,4.5,,,,,7/28/2019,,,,,,,,,,,,,,,,,,,,,,
533,Scotch,Blended Scotch,,Syndicate 58/6,,4,,,,12,8/2/2019,,,,,,,,,,,,,,,,,,,,,,
534,American SM,Pennsylvania,,Bluebird,Single Malt,2.5,,,,,8/2/2019,,,,,,,,,,,,,,,,,,,,,,
535,Scotch,Speyside,Malt,Longmorn,16 (Old Version),4.5,,,,16,8/2/2019,,,,,,,,,,,,,,,,,,,,,,
536,Scotch,Speyside,,Longmorn,Distiller's Choice,3.5,,,,,8/2/2019,,,,,,,,,,,,,,,,,,,,,,
537,Bourbon,New York,,Widow Jane,12,4,,,,12,8/2/2019,,,,,5,,,,4,,,,,,,,,,,,,
538,Scotch,Speyside,Rum,Glenfiddich,21 Rum Cask,3,,,,21,8/2/2019,,,,,,,,,,,,,,,,,,,,,,
539,Bourbon,Pennsylvania,,Boardroom,Northbound Bourbon,2.5,,,,,8/3/2019,,,,,,,,,,,,,,,,,,,,,,
540,Rye,Pennsylvania,,Boardroom,Northbound Rye,3,,,,,8/3/2019,,,,,,,,,,,,,,,,,,,,,,
541,Flavored,Specialty Spirit,Creative,Red Brick,From the Woods Black Birch,4,,,,,8/3/2019,,,,,,,,,,,,,,,,,,,,,,
542,Rye,Pennsylvania,,New Liberty,Millstone Rye,2.5,,,,,8/3/2019,,,,,,,,,,,,,,,,,,,,,,
543,Flavored,Specialty Spirit,Creative,New Liberty,Single Hive Honey,3,,,,,8/3/2019,,,,,,,,,,,,,,,,,,,,,,
544,Japanese,Blended,,Akashi,White Oak,2.5,,,,,8/3/2019,,,,,,,,,,,,,,,,,,,,,,
545,Japanese,Blended,,Mars,Iwai Tradition,3,,,,,8/3/2019,,,,,,,,,,,,,,,,,,,,,,
546,Bourbon,,,George T. Stagg,,5,,2018,,15,8/3/2019,,,,,,,,,,,,,,,,,,,,,,
547,Scotch,Island,Medium Smoke,Talisker,Storm,4,,,,,8/10/2019,,,,,,,,,,,,,,,,,,,,,,
548,Bourbon,Tennessee,,George Dickel,No. 8,2.5,,,,,8/16/2019,,,,,,,,,,,,,,,,,,,,,,
549,Rye,,,Old Forester,,3,,,,,8/21/2019,,,,,,,,,,,,,,,,,,,,,,
550,Bourbon,,,Noah's Mill,,5,,,,,8/23/2019,,,,,,,,,,,,,,,,,,,,,,
551,Scotch,Highland,Light Smoke,Oban,Bay Reserve,4,,,,,8/23/2019,,,,,,,,,,,,,,,,,,,,,,
552,American,Pennsylvania,,Kinsey,7 CS,4,,,,7,8/23/2019,,,,,,,,,,,,,,,,,,,,,,
553,Scotch,Highland,Rum,Highland Queen,Majesty Rum Cask,3.5,,,,,8/23/2019,,,,,,,,,,,,,,,,,,,,,,
554,Bourbon,,Wheat,Rebel Yell,10,3,,,,10,8/23/2019,,,,,,,,,,,,,,,,,,,,,,
555,Scotch,Highland,Malt,Dalwhinnie,Winter's Gold,4,,,,,8/23/2019,,,,,,,,,,,,,,,,,,,,,,
556,Scotch,Highland,Malt,Dalwhinnie,Winter's Frost,3.5,,,,,8/23/2019,,,,,,,,,,,,,,,,,,,,,,
557,World,Indian,,Amrut,Cask Strength,3.5,,,,,8/26/2019,,,,,,,,,,,,,,,,,,,,,,
558,World,Indian,Madeira,Amrut,Madeira Finish,2.5,,,,,8/27/2019,,,,,,,,,,,,,,,,,,,,,,
559,Canadian,Single Malt,,Glen Breton,Rare 10,3,,,,10,8/28/2019,,,,,,,,,,,,,,,,,,,,,,
560,Scotch,Speyside,Sherry,Macallan,Edition No. 4,4,,,,,8/29/2019,,,,,,,,,,,,,,,,,,,,,,
561,Scotch,Speyside,,Glentauchers,Treasurer's Selection 20,2.5,Robert Graham,1996,,20,8/30/2019,,,,,,,,,,,,,,,,,,,,,,
562,Bourbon,,,Blanton's,Gold,4.5,,,,,8/31/2019,,,,,,,,,,,,,,,,,,,,,,
563,Scotch,Highland,,Blair Athol,12,2.5,,,,12,9/1/2019,,,,,,,,,,,,,,,,,,,,,,
564,Scotch,Speyside,,BenRiach,Peated/Virgin Oak Cask 7,4.5,,2012,,7,9/2/2019,,,,,,,,,,,,,,,,,,,,,,
565,Bourbon,New York,,Cooperstown,Abner Doubleday's Bourbon,3,,,,,9/3/2019,,,,,,,,,,,,,,,,,,,,,,
566,Bourbon,Blended,,Barrell,Bourbon Batch 019,2.5,,,,9.5,9/4/2019,,,,,,,,,,,,,,,,,,,,,,
567,Scotch,Islay,Malt/Light Smoke,Bruichladdich,Black Art 1990,4,,4.1,,23,9/5/2019,,,,,,,,,,,,,,,,,,,,,,
568,Scotch,Campbeltown,,Longrow,Warehouse Tasting 11,3.5,Cadenhead's,,,11,9/6/2019,,,,,,,,,,,,,,,,,,,,,,
569,Scotch,Campbeltown,,Glen Scotia,Benchmark 21,3.5,Murray McDavid,1991,,21,9/18/2019,,,,,,,,,,,,,,,,,,,,,,
570,Scotch,Highland,Sherry,Glenmorangie,18 Extremely Rare,4,,,,18,9/18/2019,,,,,,,,,,,,,,,,,,,,,,
571,Scotch,Highland,Malt,Glenmorangie,Allta,4.5,,,,,9/18/2019,,,,,,,,,,,,,,,,,,,,,,
572,Scotch,Islay,Smoke,Ardbeg,Traigh Bhan 19,4.5,,,,19,10/4/2019,,,,,,,,,,,,,,,,,,,,,,
573,Scotch,Blended Malt,Malt,Cadenhead's,Highland PBS,4.5,Cadenhead's,,,,10/5/2019,,,,,,,,,,,,,,,,,,,,,,
